source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
438448029859306368,27.651119207012233,0.015587621,9.540063,1.1927624,3127.374,6604.56,2283.0369
1333878720286353792,27.65173886533716,0.052787077,16.414291,3.9295301,349.23242,1427.4757,48.790417
3695969342762071296,27.651827304423477,0.017337624,13.338876,2.7947435,1440.8257,2358.6055,577.40283
2169119395438933632,27.65283683777306,0.01583577,12.983055,2.8418388,705.5498,1855.4628,390.94644
4104175850870643712,27.65287166962931,0.020116152,13.67138,2.8120327,842.2822,1812.5697,350.45776
3277175602945236352,27.653129103681408,0.022174826,13.711104,2.8419619,1290.2373,2120.1704,364.26233
3475266980766190976,27.653147425756295,0.069750264,16.32365,3.8793821,715.9618,1308.8861,49.476517
3584671759275839872,27.65418282512381,0.20010929,18.486784,4.1922455,139.16322,578.9268,7.849275
5791084385810856832,27.65451550301266,0.012658851,11.899787,2.1892195,2064.9,3540.8235,897.37555
641698561045699584,27.654803776765316,0.0915057,16.913578,3.8567038,163.77264,894.8783,17.497559
1925817984972193792,27.655484163232714,0.048702665,15.870537,3.5785847,802.49396,1762.9252,89.161026
215394607057804800,27.656563982156378,0.02132526,8.617529,1.0925574,2240.4456,5281.539,2239.1934
4529575353368924032,27.658227745745197,0.07684409,16.583038,4.053211,763.91376,1584.8271,59.94806
5351297052033256064,27.66026456674821,0.06687523,16.905844,4.078801,518.6204,1192.3029,33.79187
3105353958803470464,27.660716271198293,0.026793906,14.240539,2.6734571,1033.1879,1349.7782,354.46652
5940919607037021568,27.661569442519866,0.6165918,20.084984,3.0843792,44.038,217.25328,3.5288763
5509162663774935168,27.66161954955826,0.017357787,14.319257,2.9096317,922.4577,1771.6051,314.90506
737604149973461888,27.66200382645701,0.044918414,15.249285,3.3102016,547.6949,1056.0558,87.218666
2645432952184072192,27.66636786882059,0.019491691,11.251998,2.0660305,1214.7063,2094.9329,576.0129
2947193231236423424,27.669081256409072,0.021431278,11.05132,1.899579,2561.4329,3549.9482,1494.5901
1428478673514581248,27.66967078149718,0.010308518,13.2825365,2.4044333,1640.4988,3506.8198,855.4253
2208786407712067840,27.669794481982734,0.015914088,13.800411,2.7573223,73.85,2473.629,188.84335
564226215840955904,27.670050458504956,0.014027825,12.390228,2.3093119,2934.8694,2996.2168,1411.5063
6037783179823439744,27.67023423458278,0.021912897,12.00717,2.306777,1934.3401,2750.7126,701.65106
1992199487673191552,27.671146829972848,0.067253254,16.753698,3.962946,624.10693,1317.074,38.81571
1537958592480140928,27.671183152442254,0.026699852,14.959592,3.1048489,1043.1321,2209.4272,229.59354
2415243733278993920,27.67235617712394,0.028038453,8.706769,0.9790859,4545.76,7092.5317,2701.8325
6640466189231878400,27.67270258294928,0.028374963,6.1884627,0.59166,1201.5178,3471.0237,1083.7649
53278867446391040,27.673401020035044,0.07140552,16.646381,0.5682144,191.24364,1755.9551,176.26694
170216567626711296,27.674261639839266,0.017802665,9.645971,1.2487383,4976.2217,7203.419,3123.156
1631084478574318976,27.675594010817612,0.019962989,7.8772635,0.93403053,1974.332,5090.402,1450.725
748107230502467328,27.67597759245217,0.015397882,13.192915,2.563449,1292.3094,2458.757,672.64923
4035177785261145984,27.67658970770183,0.024078026,12.6140175,2.4074936,1162.6017,2145.25,583.4487
2092121764376196736,27.678067677112438,0.014316405,13.797932,3.0368757,477.90628,1267.4641,224.12605
6048759505620173056,27.67866902513575,0.021735689,7.984734,0.8922777,1978.197,4557.8047,1804.0242
5983035270376129152,27.678751407185928,0.06295323,16.478333,3.8716106,806.52155,1630.9884,69.83703
4279420996156850048,27.678980699345285,0.025916137,10.598838,1.8802471,3481.0627,2165.5483,902.3211
375454947117341184,27.680147118635002,0.018015979,11.04356,1.8069944,1959.9357,2838.5862,1482.2247
3957129639558654720,27.68161287818512,0.02625668,14.192887,2.9595985,1130.1805,1637.6628,361.59937
5839588585358796544,27.68164889153426,0.03455826,15.694201,3.475027,940.6236,1616.6044,148.5029
2806459041412040448,27.681675342705446,0.04585137,15.534002,3.3770723,819.12354,1529.484,110.73106
4435581505912059904,27.681677216234576,0.020745795,8.394016,1.0319738,3451.1755,8812.879,3042.9707
292670723796234624,27.681920392987966,0.02427045,13.778101,2.5618896,1135.6066,1976.9963,373.88184
2411641904984410624,27.68315765254072,0.021981198,10.579697,1.6608725,2716.0935,3351.881,1304.5693
5855084861730561664,27.68401921817497,0.018853582,14.306932,2.9768763,864.848,1907.825,324.04306
3379371738411915904,27.684173313447292,0.04739392,15.795721,3.5596695,332.10773,1119.2921,55.975304
2489258526733111168,27.684581831288313,0.03164748,14.798086,2.9121542,1307.9497,1349.5984,181.75671
3328473554161717504,27.68491569039934,0.018251149,8.727358,1.0717497,2930.3223,5380.7373,2041.5219
4648266774581927296,27.6850515066893,0.012741704,7.035059,0.7106247,2208.9783,5069.214,1519.2739
1091831612070647680,27.687015723898373,0.04245094,11.889315,,,1191.8568,
