,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag
284,1512032314456889728,211.9550611907514,51.95266021487758,10.067354421574084,-16.572286375616375,-4.0758594909807515,1.1112022,11.0510645
285,1609838615390487296,212.16384442671344,55.926020594813075,10.75131405156941,-17.475970776421835,-3.421617577394768,2.2636728,13.868431
286,1512001425052135680,212.6918531406403,52.021097528814735,10.432961942570198,-17.537480905805722,-4.063474197716767,2.9075718,15.765343
287,1667489892685370624,212.72087002723478,62.522195786330656,9.795463640714324,-17.235612030195814,-2.751308009630854,0.52123785,8.196145
288,1609576313148316288,212.83331855176826,55.288386154072846,10.52231488412822,-17.60680747466411,-2.9713140245319067,3.411234,17.479708
289,1506360518084440704,213.12104379523885,47.37924199382439,10.297644928423086,-17.6663497388611,-4.746481458126102,2.8657799,15.726617
290,1511749465090453632,213.1694863987198,51.09451251015557,10.488411973786,-17.275363469912698,-3.1428491166563606,2.839613,15.48652
291,1508133755461990528,213.22109323587043,49.45942344746109,10.339532795690838,-16.983489299220686,-3.6300161186331814,2.6180286,14.964291
292,1609909671329800576,213.23694800425992,56.20950785794851,10.036591637168248,-15.95775870391854,-2.912278551652734,3.1598024,17.107096
293,1660473290513039488,213.47090297334145,60.578635869827444,10.042753996316216,-16.923263472864413,-2.4436653042372614,2.8952541,15.902233
294,1609594558169410944,213.50671761121143,55.55233139519513,9.71098614125487,-15.99718919569197,-3.2157609605908895,3.3866482,18.095854
295,1608103448603945216,213.82068748122646,52.535908218934765,10.683103697635016,-17.59804242066417,-3.439223502021589,0.09892225,6.561181
296,1505107762024006144,213.9216021004091,45.12244081905348,11.180825709444262,-18.323253166642253,-5.051310220419888,2.8217077,14.590457
297,1609726087247553664,213.95262931340395,56.0766461360914,9.98771726799792,-16.268999740575207,-2.682495219239197,2.7584848,15.412317
298,1608114100122827904,214.00461078827107,52.78628104247988,10.688672815589689,-19.021730586924576,-5.580662091712571,0.9558792,9.9886875
299,1608114095830830592,214.00536998371766,52.786327003835204,10.708543126353327,-15.974117537368048,-0.5369239925714848,0.93293667,10.312345
300,1611685691846029952,214.07255625916613,58.389401210727236,9.897344176891188,-16.271333881634106,-2.8829030070060915,0.57285595,8.436284
301,1511697238288242944,214.34565866767136,50.94848723336777,10.511224448781538,-16.96467889075362,-4.04140751597693,2.6362686,14.979333
302,1607844444896321024,214.629653489795,52.033307115828904,10.412291782488948,-17.184273462934392,-3.082188090538351,0.18556404,6.9035597
303,1608751851226140544,214.7091076195935,54.82873683000528,10.295939428247676,-17.42412828281568,-2.9193817364324413,2.1300898,13.732266
304,1612110653090004096,214.74857108946733,59.15296264251381,9.88303844072323,-16.586255717709225,-2.495400395019865,2.400488,14.4739685
305,1608637983053293696,214.83789396768077,53.92499506314556,9.8287174657895,-15.945754078415824,-3.377423673306958,2.8193226,15.648208
306,1608871010798510208,215.04273759047305,55.35295048029582,10.752590561782526,-17.335571117009906,-2.6319029967224803,2.6095486,14.942689
307,1604818863774386944,215.13420237197866,51.6699023416577,10.557408083126443,-17.133586873607506,-3.123293391756758,2.163515,13.765037
308,1604815389143862784,215.21420208058672,51.63115972308089,10.480447332079502,-16.959724223436005,-4.168581097349898,1.6203728,12.329202
310,1508260542896727936,215.45404684413282,49.347839653555724,10.860644917226859,-15.897236742017832,-3.1698599945176213,2.715373,14.326386
311,1508309780400463104,215.6590494396073,49.45087218962195,10.369786472665496,-16.63878675052336,-5.09128041572095,3.047474,16.265238
312,1611371849995774592,216.2962869095808,57.63320895919003,9.693865043541956,-15.847211768457038,-2.0765492807811397,0.76739883,9.532012
313,1666584547938761600,216.41831088494402,62.179257394772826,10.238672018326621,-16.91774676112845,-3.368948794306208,3.012474,15.964207
314,1604441971804002176,216.4727540994714,50.416457459762675,10.961418431414385,-17.403084383688867,-3.701031656269465,2.160471,13.654587
315,1507538610433938816,216.48960369417983,49.082820983938454,10.260137058359922,-16.607126332906148,-3.4541214931596302,3.3175821,16.75729
316,1507362482414976896,216.64716446444572,48.297276281916346,10.29939090794028,-16.64117711064007,-3.665312250300608,2.8061905,15.626624
317,1605279799664073344,216.89951541456833,52.54791501546213,10.114617627178493,-16.214198650023317,-2.119059754958787,3.5196362,18.11327
318,1611966617067030912,216.9799398777011,59.09790240586115,9.323624295097254,-15.909637366940467,-4.054324912949979,2.9379025,16.07052
319,1605310723428572032,216.99928470804448,52.84053797082066,9.79380070393029,-16.015505818691118,-2.8971372594303535,2.8832998,15.909488
320,1603660249099855488,217.12471309140437,49.7703030831696,10.710644948981736,-16.836383324318682,-2.824557699684813,3.6085072,18.245934
321,1666535649735776256,217.15297712209255,62.0521975780867,9.858913579917802,-14.725928243735353,-1.346625409414663,3.4790077,18.072859
322,1666483805185815680,217.28872915682257,61.51500075841534,10.244845533691453,-16.409035325277777,-3.69726564200032,2.9134207,15.611341
