     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 07221747+0851566 | J0722+0851  |     |          |              1.92986 |             0.154736 |          |                     | 10.603 | 10.057 |  9.753 | 15.402 | 15.402 | 0.078 | APASS8              |     22.9 | A      | 2016ApJ...821...93N
 07223179+7305048 | J0722+7305  |     |          |             1.930899 |             1.275568 | M4.0     | 2007AJ....133.2825R | 10.344 |   9.76 |  9.445 | 15.308 | 15.308 | 0.081 | APASS8              |          |        | 
 07225679+4057414 | J0722+4057  |     |          |             1.932717 |             0.714914 |          |                     | 10.159 |  9.567 |  9.308 | 13.829 | 13.829 | 0.058 | APASS8              |          |        | 
 07225963+2212360 | J0722+2212  |     |          |             1.932925 |             0.387637 |          |                     |  9.476 |  8.908 |   8.65 | 13.022 | 13.022 | 0.047 | APASS8              |          |        | 
 07250517+0637264 | J0725+0637  |     |          |             1.942055 |             0.115611 |          |                     | 10.473 |  9.901 |   9.63 | 14.245 | 14.245 |     0 | APASS8              |          |        | 
 07262962+1411331 | J0726+1411  |     |          |             1.948198 |             0.247704 |          |                     | 10.503 |  9.962 |  9.658 | 14.744 | 14.744 | 0.052 | APASS8              |          |        | 
 07274829+8020089 | J0727+8020  |     |          |             1.953917 |             1.402125 |          |                     | 10.767 | 10.247 |  9.965 | 15.259 | 15.259 | 0.039 | APASS8              |          |        | 
 07283045+4745326 | J0728+4745  |     |          |             1.956984 |             0.833553 |          |                     |  9.794 |  9.146 |   8.95 | 13.179 | 13.179 | 0.053 | APASS8              |          |        | 
 07291278+1723126 | J0729+1723  |     |          |             1.960062 |             0.303454 |          |                     | 10.079 |  9.474 |  9.193 |  14.15 |  14.15 |       | 1984ApJS...55..289W |          |        | 
 07302916+6247270 | J0730+6247  |     |          |             1.965617 |             1.095908 |          |                     | 11.313 | 10.679 | 10.321 | 16.387 | 16.387 | 0.014 | APASS8              |    98.39 | B      | 2016ApJ...821...93N
 07313927+6201177 | J0731+6201E |     |          |             1.970715 |              1.08248 |          |                     |  9.652 |  9.036 |   8.77 | 13.548 | 13.548 | 0.084 | APASS8              |          |        | 
 07332208+4354284 | J0733+4354  |     |          |              1.97819 |             0.766336 |          |                     |   10.4 |   9.79 |  9.549 | 14.422 | 14.422 | 0.043 | APASS8              |          |        | 
 07332760+4130036 | J0733+4130  |     |          |             1.978596 |             0.724327 |          |                     | 10.171 |  9.642 |  9.367 |   14.2 |   14.2 |       | 1987AJ.....93..451W |          |        | 
 07335230+6724235 | J0733+6724  |     |          |             1.980389 |             1.176465 |          |                     | 10.427 |  9.849 |  9.616 | 14.394 | 14.394 | 0.057 | APASS8              |          |        | 
 07374384+0554368 | J0737+0554  |     |          |             1.997227 |             0.103153 | M4       | 2015ApJ...812....3W |  9.974 |  9.351 |  9.078 | 14.053 | 14.053 |  0.03 | APASS8              |    61.73 | A      | 2016ApJ...821...93N
 07382951+2400088 | J0738+2400  |     |          |             2.000547 |             0.418921 | M2.7     | 2009ApJ...699..649S |  8.928 |  8.346 |  8.122 |  12.95 |  12.95 | 0.041 | APASS8              |  3.87463 | 0      | 2011AJ....141..166H
 07384719+4925272 | J0738+4925  |     |          |             2.001834 |             0.862615 |          |                     | 10.632 |  9.996 |  9.701 | 16.107 | 16.107 |     0 | APASS8              |    126.4 | A      | 2016ApJ...821...93N
 07411976+6718444 | J0741+6718  |     |          |             2.012928 |             1.174821 |          |                     |  10.69 | 10.056 |   9.78 | 15.671 | 15.671 |     0 | APASS8              |    1.122 | A      | 2016ApJ...821...93N
 07420968+5004275 | J0742+5004  |     |          |             2.016559 |             0.873962 | M2.5     | 2013AJ....145..102L |  8.455 |  7.867 |  7.619 | 12.074 | 12.074 | 0.058 | APASS8              |          |        | 
 07430023+5109435 | J0743+5109W |     |          |             2.020235 |             0.892947 |          |                     |  9.128 |  8.521 |  8.298 |  12.62 |  12.62 |       | 1996AJ....112.2300W |          |        | 
 07430460+5109239 | J0743+5109E |     |          |             2.020554 |             0.892852 |          |                     |  9.327 |  8.744 |  8.497 |  12.99 |  12.99 |       | 1996AJ....112.2300W |          |        | 
 07432710+0815261 | J0743+0815  |     |          |             2.022189 |             0.144116 |          |                     |  9.473 |   8.88 |  8.641 | 12.748 | 12.748 | 0.023 | APASS8              |          |        | 
 07464203+5726534 | J0746+5726  |     |          |             2.036365 |             1.002659 | M4.5V    | 2015A&A...577A.128A |  9.699 |  9.108 |  8.823 | 14.445 | 14.445 | 0.093 | APASS8              |     0.82 | B      | 2016ApJ...821...93N
 07473239+4808438 | J0747+4808  |     |          |             2.040028 |             0.840298 |          |                     |  9.809 |  9.185 |   8.93 | 13.836 | 13.836 | 0.078 | APASS8              |          |        | 
 07473462+4807300 | J0747+4807  |     |          |              2.04019 |              0.83994 |          |                     | 10.245 |  9.664 |  9.412 | 14.483 | 14.483 | 0.054 | APASS8              |          |        | 
 07505369+4428181 | J0750+4428  |     |          |             2.054667 |             0.776176 | M1.5     | 2006AJ....132..866R |  9.181 |  8.552 |  8.299 | 12.545 | 12.545 | 0.065 | APASS8              |          |        | 
 07551206+5257540 | J0755+5257  |     |          |             2.073456 |             0.924414 |          |                     |  9.988 |  9.353 |   9.06 | 14.237 | 14.237 | 0.029 | APASS8              |    83.21 | A      | 2016ApJ...821...93N
 07581803+8757398 | J0758+8757  |     |          |             2.086976 |              1.53521 | M4.0     | 1997PASP..109..849G |  9.876 |  9.264 |   9.02 | 14.124 | 14.124 | 0.069 | APASS8              |          |        | 
 07582273+4939533 | J0758+4939  |     |          |             2.087321 |             0.866815 | M3.5     | 2013AJ....145..102L |  8.706 |  8.174 |  7.847 |  13.16 |  13.16 |       | 1996AJ....112.2300W |          |        | 
 07583634+5620333 | J0758+5620  |     |          |             2.088312 |             0.983364 |          |                     | 10.078 |  9.466 |  9.207 | 13.409 | 13.409 | 0.052 | APASS8              |          |        | 
 08002100+6455345 | J0800+6455  |     |          |             2.095922 |             1.133177 |          |                     | 10.657 | 10.146 |  9.885 | 15.043 | 15.043 | 0.066 | APASS8              |          |        | 
 08005801+1300580 | J0800+1300  |     |          |             2.098612 |             0.227173 |          |                     |  9.216 |  8.617 |  8.355 |  12.81 |  12.81 |       | 1986AJ.....91..626W |          |        | 
 08014355+2342271 | J0801+2342  |     |          |             2.101926 |             0.413775 | M1.5     | 2013AJ....145..102L |   7.67 |  7.017 |  6.802 | 10.882 | 10.882 | 0.078 | APASS8              |          |        | 
 08021516+0326482 | J0802+0326  |     |          |             2.104225 |             0.060157 |          |                     |  9.048 |  8.442 |  8.256 | 11.986 | 11.986 | 0.008 | APASS8              |          |        | 
 08024412+5901434 | J0802+5901  |     |          |             2.106335 |             1.030245 | M3.5     | 1997PASP..109..849G |  9.647 |  9.081 |  8.812 |   13.7 |   13.7 |       | 1996AJ....112.2300W |          |        | 
 08040293+2856398 | J0804+2856  |     |          |             2.112062 |             0.505175 |          |                     | 10.038 |  9.437 |  9.168 | 13.718 | 13.718 | 0.055 | APASS8              |  30.8206 | 0      | 2011AJ....141..166H
 08041456+1116015 | J0804+1116  |     |          |             2.112908 |             0.196648 | M4       | 2015ApJ...812....3W |   9.97 |  9.413 |  9.151 | 14.338 | 14.338 | 0.038 | APASS8              |    42.87 | A      | 2016ApJ...821...93N
 08042022+1501447 | J0804+1501  |     |          |             2.113319 |             0.262307 |          |                     | 10.634 | 10.092 |  9.841 | 14.964 | 14.964 |  0.05 | APASS8              |          |        | 
 08045392+2705094 | J0804+2705  |     |          |             2.115768 |             0.472738 |          |                     |  9.407 |  8.792 |  8.569 |  12.96 |  12.96 |       | 1984ApJS...55..289W |  44.8192 | 0      | 2011AJ....141..166H
 08070396+1845169 | J0807+1845  |     |          |             2.125227 |             0.327331 |          |                     |  9.127 |  8.453 |  8.216 | 12.367 | 12.367 | 0.032 | APASS8              |          |        | 
 08104804+0109118 | J0810+0109  |     |          |             2.141522 |             0.020129 | M5       | 2015ApJ...812....3W | 10.623 |  10.06 |  9.744 | 15.694 | 15.694 | 0.024 | APASS8              |    37.91 | A      | 2016ApJ...821...93N
 08114760+5311513 | J0811+5311  |     |          |             2.145851 |             0.928472 | M2.5V    | 2015A&A...577A.128A |  9.293 |  8.709 |  8.518 | 13.073 | 13.073 | 0.039 | APASS8              |          |        | 
